episode,rolling_mean_chips,epsilon
5000,nan,0.9988127375
10000,-0.53805,0.9976252375
15000,-0.60615,0.9964377375
20000,-0.64105,0.9952502375
25000,-0.57975,0.9940627375
30000,-0.5099,0.9928752375
35000,-0.53695,0.9916877374999999
40000,-0.56135,0.9905002375
45000,-0.5258,0.9893127375
50000,-0.537,0.9881252375
55000,-0.50355,0.9869377375
60000,-0.52735,0.9857502375
65000,-0.53995,0.9845627375
70000,-0.58395,0.9833752375
75000,-0.62715,0.9821877375
80000,-0.61185,0.9810002375
85000,-0.5757,0.9798127375
90000,-0.49865,0.9786252375
95000,-0.4773,0.9774377375
100000,-0.4781,0.9762502375
105000,-0.53345,0.9750627375
110000,-0.48135,0.9738752375
115000,-0.4318,0.9726877375
120000,-0.58585,0.9715002375
125000,-0.614,0.9703127375
130000,-0.50975,0.9691252375
135000,-0.4732,0.9679377375
140000,-0.50495,0.9667502375
145000,-0.5422,0.9655627375
150000,-0.5391,0.9643752375
155000,-0.4905,0.9631877375
160000,-0.48725,0.9620002375
165000,-0.51335,0.9608127375
170000,-0.35105,0.9596252375
175000,-0.3636,0.9584377375
180000,-0.53235,0.9572502375
185000,-0.5668,0.9560627375
190000,-0.53755,0.9548752375
195000,-0.54415,0.9536877375
200000,-0.59495,0.9525002375
205000,-0.5733,0.9513127375
210000,-0.60805,0.9501252375
215000,-0.54695,0.9489377375
220000,-0.45155,0.9477502375
225000,-0.44235,0.9465627375
230000,-0.4715,0.9453752375
235000,-0.51295,0.9441877375
240000,-0.52145,0.9430002375
245000,-0.5347,0.9418127375
250000,-0.4029,0.9406252375
255000,-0.40795,0.9394377375
260000,-0.52725,0.9382502375
265000,-0.51075,0.9370627375
270000,-0.56685,0.9358752375
275000,-0.5721,0.9346877375
280000,-0.5681,0.9335002375
285000,-0.58725,0.9323127375
290000,-0.5478,0.9311252375
295000,-0.5587,0.9299377375
300000,-0.6125,0.9287502375
305000,-0.509,0.9275627375
310000,-0.4656,0.9263752375000001
315000,-0.50665,0.9251877375
320000,-0.4926,0.9240002375
325000,-0.49645,0.9228127375
330000,-0.4838,0.9216252375
335000,-0.4417,0.9204377375
340000,-0.44385,0.9192502375
345000,-0.5362,0.9180627375
350000,-0.45575,0.9168752375
355000,-0.4639,0.9156877375
360000,-0.6112,0.9145002375
365000,-0.5175,0.9133127375
370000,-0.54145,0.9121252375
375000,-0.60475,0.9109377375
380000,-0.5248,0.9097502375000001
385000,-0.46905,0.9085627375
390000,-0.47595,0.9073752375
395000,-0.51955,0.9061877375
400000,-0.4864,0.9050002375
405000,-0.4555,0.9038127375
410000,-0.42555,0.9026252375
415000,-0.4762,0.9014377375
420000,-0.5043,0.9002502375
425000,-0.4756,0.8990627375
430000,-0.5283,0.8978752375
435000,-0.4557,0.8966877375
440000,-0.3734,0.8955002375000001
445000,-0.4267,0.8943127375
450000,-0.54065,0.8931252375000001
455000,-0.54335,0.8919377375
460000,-0.4993,0.8907502375
465000,-0.4722,0.8895627375
470000,-0.48365,0.8883752375
475000,-0.5861,0.8871877375
480000,-0.61465,0.8860002375
485000,-0.54205,0.8848127375
490000,-0.48665,0.8836252375
495000,-0.53965,0.8824377375
500000,-0.54585,0.8812502375
505000,-0.45735,0.8800627375
510000,-0.4133,0.8788752375
515000,-0.3863,0.8776877375000001
520000,-0.35375,0.8765002375000001
525000,-0.39915,0.8753127375
530000,-0.4663,0.8741252375
535000,-0.4871,0.8729377375
540000,-0.462,0.8717502375
545000,-0.48685,0.8705627375
550000,-0.48525,0.8693752375
555000,-0.4225,0.8681877375
560000,-0.38595,0.8670002375
565000,-0.3879,0.8658127375
570000,-0.45345,0.8646252375
575000,-0.5101,0.8634377375
580000,-0.426,0.8622502375
585000,-0.49395,0.8610627375
590000,-0.6271,0.8598752375000001
595000,-0.5456,0.8586877375
600000,-0.4832,0.8575002375
605000,-0.4975,0.8563127375
610000,-0.42975,0.8551252375
615000,-0.3839,0.8539377375
620000,-0.4056,0.8527502375
625000,-0.3856,0.8515627375
630000,-0.4917,0.8503752375
635000,-0.5418,0.8491877375
640000,-0.51535,0.8480002375
645000,-0.53295,0.8468127375000001
650000,-0.4863,0.8456252375
655000,-0.39755,0.8444377375000001
660000,-0.36055,0.8432502374999999
665000,-0.4305,0.8420627375
670000,-0.4792,0.8408752375
675000,-0.48145,0.8396877375
680000,-0.49345,0.8385002375
685000,-0.414,0.8373127375
690000,-0.3446,0.8361252375
695000,-0.4394,0.8349377375
700000,-0.39625,0.8337502375
705000,-0.4153,0.8325627375
710000,-0.5637,0.8313752375
715000,-0.58125,0.8301877375
720000,-0.56645,0.8290002375000001
725000,-0.48185,0.8278127375
730000,-0.464,0.8266252375
735000,-0.4943,0.8254377375
740000,-0.4734,0.8242502375
745000,-0.5024,0.8230627375
750000,-0.51815,0.8218752375
755000,-0.5262,0.8206877375
760000,-0.4533,0.8195002375
765000,-0.3626,0.8183127375
770000,-0.37745,0.8171252375
775000,-0.38475,0.8159377375
780000,-0.42465,0.8147502375
785000,-0.43955,0.8135627375000001
790000,-0.40455,0.8123752375
795000,-0.44115,0.8111877375000001
800000,-0.46225,0.8100002374999999
