episode,rolling_mean_chips,epsilon
5000,nan,0.9988127375
10000,-0.539,0.9976252375
15000,-0.5963,0.9964377375
20000,-0.66195,0.9952502375
25000,-0.5842,0.9940627375
30000,-0.52315,0.9928752375
35000,-0.5898,0.9916877374999999
40000,-0.5512,0.9905002375
45000,-0.48795,0.9893127375
50000,-0.5357,0.9881252375
55000,-0.5024,0.9869377375
60000,-0.52595,0.9857502375
65000,-0.53845,0.9845627375
70000,-0.5872,0.9833752375
75000,-0.6283,0.9821877375
80000,-0.59605,0.9810002375
85000,-0.57065,0.9798127375
90000,-0.49095,0.9786252375
95000,-0.53025,0.9774377375
100000,-0.5443,0.9762502375
105000,-0.52335,0.9750627375
110000,-0.47435,0.9738752375
115000,-0.46875,0.9726877375
120000,-0.59435,0.9715002375
125000,-0.6022,0.9703127375
130000,-0.4929,0.9691252375
135000,-0.47595,0.9679377375
140000,-0.5323,0.9667502375
145000,-0.5441,0.9655627375
150000,-0.54245,0.9643752375
155000,-0.52085,0.9631877375
160000,-0.4871,0.9620002375
165000,-0.49665,0.9608127375
170000,-0.412,0.9596252375
175000,-0.4148,0.9584377375
180000,-0.531,0.9572502375
185000,-0.59455,0.9560627375
190000,-0.58925,0.9548752375
195000,-0.54385,0.9536877375
200000,-0.5794,0.9525002375
205000,-0.57825,0.9513127375
210000,-0.59405,0.9501252375
215000,-0.5449,0.9489377375
220000,-0.46555,0.9477502375
225000,-0.4524,0.9465627375
230000,-0.47635,0.9453752375
235000,-0.5056,0.9441877375
240000,-0.5184,0.9430002375
245000,-0.5657,0.9418127375
250000,-0.4433,0.9406252375
255000,-0.44135,0.9394377375
260000,-0.53305,0.9382502375
265000,-0.52005,0.9370627375
270000,-0.5715,0.9358752375
275000,-0.54495,0.9346877375
280000,-0.54605,0.9335002375
285000,-0.57685,0.9323127375
290000,-0.55325,0.9311252375
295000,-0.58005,0.9299377375
300000,-0.62935,0.9287502375
305000,-0.532,0.9275627375
310000,-0.51355,0.9263752375000001
315000,-0.52605,0.9251877375
320000,-0.4981,0.9240002375
325000,-0.5578,0.9228127375
330000,-0.5267,0.9216252375
335000,-0.45805,0.9204377375
340000,-0.4776,0.9192502375
345000,-0.55035,0.9180627375
350000,-0.4519,0.9168752375
355000,-0.4578,0.9156877375
360000,-0.6218,0.9145002375
365000,-0.5176,0.9133127375
370000,-0.52025,0.9121252375
375000,-0.63945,0.9109377375
380000,-0.59345,0.9097502375000001
385000,-0.4852,0.9085627375
390000,-0.4701,0.9073752375
395000,-0.54255,0.9061877375
400000,-0.51975,0.9050002375
405000,-0.47225,0.9038127375
410000,-0.44855,0.9026252375
415000,-0.52725,0.9014377375
420000,-0.54985,0.9002502375
425000,-0.4739,0.8990627375
430000,-0.53735,0.8978752375
435000,-0.5093,0.8966877375
440000,-0.40415,0.8955002375000001
445000,-0.4169,0.8943127375
450000,-0.5374,0.8931252375000001
455000,-0.5573,0.8919377375
460000,-0.5373,0.8907502375
465000,-0.49,0.8895627375
470000,-0.48115,0.8883752375
475000,-0.61005,0.8871877375
480000,-0.61095,0.8860002375
485000,-0.54095,0.8848127375
490000,-0.508,0.8836252375
495000,-0.55535,0.8824377375
500000,-0.56885,0.8812502375
505000,-0.4948,0.8800627375
510000,-0.4722,0.8788752375
515000,-0.4305,0.8776877375000001
520000,-0.3836,0.8765002375000001
525000,-0.4377,0.8753127375
530000,-0.49085,0.8741252375
535000,-0.48515,0.8729377375
540000,-0.4862,0.8717502375
545000,-0.5394,0.8705627375
550000,-0.5356,0.8693752375
555000,-0.47345,0.8681877375
560000,-0.4287,0.8670002375
565000,-0.40945,0.8658127375
570000,-0.47345,0.8646252375
575000,-0.54605,0.8634377375
580000,-0.45115,0.8622502375
585000,-0.52155,0.8610627375
