episode,rolling_mean_chips,epsilon
5000,nan,0.9988127375
10000,-0.5356,0.9976252375
15000,-0.59935,0.9964377375
20000,-0.6768,0.9952502375
25000,-0.62205,0.9940627375
30000,-0.5104,0.9928752375
35000,-0.52385,0.9916877374999999
40000,-0.54565,0.9905002375
45000,-0.5153,0.9893127375
50000,-0.5337,0.9881252375
55000,-0.5066,0.9869377375
60000,-0.57155,0.9857502375
65000,-0.57665,0.9845627375
70000,-0.5894,0.9833752375
75000,-0.63665,0.9821877375
80000,-0.59475,0.9810002375
85000,-0.5593,0.9798127375
90000,-0.48225,0.9786252375
95000,-0.4581,0.9774377375
100000,-0.47245,0.9762502375
105000,-0.54905,0.9750627375
110000,-0.536,0.9738752375
115000,-0.49745,0.9726877375
120000,-0.605,0.9715002375
125000,-0.60775,0.9703127375
130000,-0.5265,0.9691252375
135000,-0.4902,0.9679377375
140000,-0.4918,0.9667502375
145000,-0.51285,0.9655627375
150000,-0.5273,0.9643752375
155000,-0.5082,0.9631877375
160000,-0.50345,0.9620002375
165000,-0.5153,0.9608127375
170000,-0.35205,0.9596252375
175000,-0.354,0.9584377375
180000,-0.5458,0.9572502375
185000,-0.6036,0.9560627375
190000,-0.59945,0.9548752375
195000,-0.574,0.9536877375
200000,-0.59065,0.9525002375
205000,-0.5951,0.9513127375
210000,-0.61225,0.9501252375
215000,-0.5495,0.9489377375
220000,-0.44105,0.9477502375
225000,-0.40175,0.9465627375
230000,-0.46355,0.9453752375
235000,-0.51475,0.9441877375
240000,-0.49295,0.9430002375
245000,-0.51415,0.9418127375
250000,-0.40685,0.9406252375
255000,-0.42395,0.9394377375
260000,-0.5413,0.9382502375
265000,-0.51365,0.9370627375
270000,-0.5402,0.9358752375
275000,-0.54725,0.9346877375
280000,-0.56415,0.9335002375
285000,-0.5597,0.9323127375
290000,-0.53475,0.9311252375
295000,-0.5768,0.9299377375
300000,-0.59505,0.9287502375
305000,-0.5127,0.9275627375
310000,-0.4803,0.9263752375000001
315000,-0.50085,0.9251877375
320000,-0.488,0.9240002375
325000,-0.47755,0.9228127375
330000,-0.4761,0.9216252375
335000,-0.45815,0.9204377375
340000,-0.4753,0.9192502375
345000,-0.56375,0.9180627375
350000,-0.50445,0.9168752375
355000,-0.48855,0.9156877375
360000,-0.6036,0.9145002375
365000,-0.5074,0.9133127375
370000,-0.51215,0.9121252375
375000,-0.59735,0.9109377375
380000,-0.5593,0.9097502375000001
385000,-0.488,0.9085627375
390000,-0.46195,0.9073752375
395000,-0.5334,0.9061877375
400000,-0.5275,0.9050002375
405000,-0.4798,0.9038127375
410000,-0.4416,0.9026252375
415000,-0.4903,0.9014377375
420000,-0.5079,0.9002502375
425000,-0.4622,0.8990627375
430000,-0.49635,0.8978752375
435000,-0.4527,0.8966877375
440000,-0.35965,0.8955002375000001
445000,-0.3904,0.8943127375
450000,-0.55335,0.8931252375000001
455000,-0.571,0.8919377375
460000,-0.4995,0.8907502375
465000,-0.4937,0.8895627375
470000,-0.52195,0.8883752375
475000,-0.61115,0.8871877375
480000,-0.61605,0.8860002375
485000,-0.5474,0.8848127375
490000,-0.50215,0.8836252375
495000,-0.5515,0.8824377375
500000,-0.56275,0.8812502375
505000,-0.4752,0.8800627375
510000,-0.44495,0.8788752375
515000,-0.4241,0.8776877375000001
520000,-0.38815,0.8765002375000001
525000,-0.4285,0.8753127375
530000,-0.4659,0.8741252375
535000,-0.4736,0.8729377375
540000,-0.48265,0.8717502375
545000,-0.5269,0.8705627375
550000,-0.53515,0.8693752375
555000,-0.49795,0.8681877375
560000,-0.43665,0.8670002375
565000,-0.3766,0.8658127375
570000,-0.45655,0.8646252375
575000,-0.54825,0.8634377375
580000,-0.4589,0.8622502375
585000,-0.4883,0.8610627375
590000,-0.61135,0.8598752375000001
595000,-0.5662,0.8586877375
600000,-0.4951,0.8575002375
605000,-0.50205,0.8563127375
610000,-0.44725,0.8551252375
615000,-0.47195,0.8539377375
620000,-0.51005,0.8527502375
625000,-0.4274,0.8515627375
630000,-0.5036,0.8503752375
635000,-0.55545,0.8491877375
